Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20210611,300925.SZ,0.05903520524357764,662627.9616,3.0,0.08106990053374863,计算机
20210611,600732.SH,0.008137893261491058,2683881.8685,5.0,0.03017258855166205,电气设备
20210611,688599.SH,0.12857208095978745,4239454.0688,5.0,0.15060677624995844,电气设备
20210617,300237.SZ,0.14634054868660074,453358.6231,3.0,0.11755073735733923,建筑装饰
20210617,300323.SZ,0.05348663874982007,1381623.4086,4.0,0.024696827420558565,电子
20210618,300200.SZ,0.005818697320549626,468425.7512,3.0,-0.012322195828284643,化工
20210623,300847.SZ,-0.02392149294127799,516241.44,3.0,-0.03443708184643757,化工
20210623,300948.SZ,0.01886700722697876,419889.99,2.0,0.008351418321819182,建筑装饰
20210623,600391.SH,-0.04119032890340979,745101.9813,4.0,-0.05170591780856937,国防军工
20210625,000559.SZ,-0.06039038734631874,1780743.5344,5.0,-0.0701605125143121,汽车
20210625,300746.SZ,0.0909083236025292,295039.9947,2.0,0.08113819843453585,建筑装饰
20210625,603105.SH,0.0047285581499392215,465500.0,3.0,-0.005041567018054138,公用事业
20210630,002433.SZ,0.10955703406719319,345047.94,2.0,0.12256586685211535,医药生物
20210709,000050.SZ,0.027663012788628816,3910276.5287,5.0,0.010934657238353296,电子
20210714,002031.SZ,0.02688176676128018,450876.1124,3.0,0.03628947898147128,机械设备
20210714,002043.SZ,0.06470700641133686,815818.0701,4.0,0.07411471863152796,建筑材料
20210721,300185.SZ,0.015384585656009975,1336596.6448,4.0,0.06503763726942624,电气设备
20210722,300786.SZ,-0.030537954179331805,216419.52,1.0,0.03648124403152264,机械设备
20210728,300476.SZ,0.050279282492446065,1815605.9974,5.0,0.01726502845467759,电子
