Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20191211,002593.SZ,0.12858249419055,307086.18,2.0,0.0916276737659536,建筑装饰
20191211,300448.SZ,-0.0063673469387754,560780.3453,3.0,-0.0433221673633719,计算机
20191212,300116.SZ,-0.0513307984790875,437854.4215,3.0,-0.0885181989048807,电气设备
20191212,300426.SZ,-0.0031220730565093,284864.675,2.0,-0.0403094734823026,传媒
20191212,600268.SH,-0.0128073770491805,385872.1771,3.0,-0.0499947774749738,电气设备
20191213,002077.SZ,0.059217877094972,388833.5037,3.0,0.0185291975702923,电子
20191213,600206.SH,0.0919939249294856,1003317.3784,4.0,0.0513052454048059,有色金属
20191218,000156.SZ,0.0322906155398587,1522219.7199,5.0,0.0441265209678314,传媒
20191218,000970.SZ,0.0891771636272484,1089699.6,4.0,0.1010130690552211,有色金属
20191218,600776.SH,-0.0334317554052766,2848608.1452,5.0,-0.021595849977304,通信
20191218,600831.SH,-0.0338395510069329,693246.4061,4.0,-0.0220036455789602,传媒
20191218,601038.SH,0.1014492753623186,667420.45,4.0,0.1132851807902912,机械设备
20191218,601108.SH,0.0287836583101208,3929955.0,5.0,0.0406195637380935,非银金融
20191219,002851.SZ,0.0200820557115095,994780.879,4.0,0.0288859788086131,电气设备
20191220,002365.SZ,0.0088264138607387,303228.2925,2.0,0.0106726746547594,医药生物
20191220,300110.SZ,-0.0581636892397173,501258.3044,3.0,-0.0563174284456967,医药生物
20191227,000630.SZ,0.0265251989389918,2452682.2608,5.0,-0.0027098715426667,有色金属
20200102,000078.SZ,-0.0348357742073086,1033206.1381,4.0,-0.0515542109309337,医药生物
20200102,002166.SZ,-0.0173250173250174,464606.5163,3.0,-0.0340434540486425,医药生物
20200102,002481.SZ,0.0755479452054794,1024553.36,4.0,0.0588295084818544,食品饮料
20200102,600026.SH,-0.0046253469010177,2794198.7727,5.0,-0.0213437836246428,交通运输
20200102,600039.SH,0.0388013830195927,1245631.301,4.0,0.0220829462959677,建筑装饰
20200102,600313.SH,0.1530008453085376,335481.5855,2.0,0.1362824085849125,农林牧渔
20200102,600598.SH,0.1077894736842104,1770569.1894,5.0,0.0910710369605853,农林牧渔
20200102,601668.SH,0.0557184750733139,24807597.1592,5.0,0.0390000383496889,建筑装饰
20200103,000713.SZ,0.087926172776211,423231.7545,3.0,0.0730221787943445,农林牧渔
20200103,600127.SH,0.0170132325141776,280459.2663,2.0,0.0021092385323111,农林牧渔
20200103,600371.SH,0.0563081009296153,307882.08,2.0,0.0414041069477488,农林牧渔
20200103,600489.SH,0.0458642098938515,3037000.7263,5.0,0.030960215911985,有色金属
20200103,600547.SH,0.0860179407176289,10780449.2561,5.0,0.0711139467357624,有色金属
20200103,600598.SH,0.07739810621655,1921671.9816,5.0,0.0624941122346835,农林牧渔
20200103,600871.SH,0.0480427046263345,4594210.288,5.0,0.033138710644468,采掘
20200103,601952.SH,0.0175257731958764,1048658.0,4.0,0.0026217792140099,农林牧渔
20200103,603279.SH,0.0852575488454705,966884.595,4.0,0.070353554863604,机械设备
20200108,300099.SZ,-0.0014650481372957,463061.6645,3.0,-0.0099542514086741,机械设备
20200108,300182.SZ,0.1365784144603612,1184481.9712,4.0,0.1280892111889828,传媒
20200108,600052.SH,0.0064365125804564,448099.5933,3.0,-0.0020526906909219,房地产
20200109,002094.SZ,0.0790076335877862,375157.3691,2.0,0.0616181128385673,化工
20200109,600522.SH,0.0358001981038629,2685888.0335,5.0,0.0184106773546439,通信
20200115,603978.SH,-0.0141793690180788,472320.0,3.0,-0.002811303858995,有色金属
20200116,300471.SZ,0.1221719457013572,380767.68,2.0,0.1249498216546112,机械设备
20200117,300471.SZ,-0.0420718025430066,397544.8,2.0,-0.0092678945393569,机械设备
20200219,000738.SZ,-0.037244693632359,1635977.2744,5.0,-0.0681656105048608,国防军工
20200226,600195.SH,0.0910174288693581,1111136.152,4.0,0.1092312095694419,农林牧渔
20200306,300698.SZ,0.0615631691648821,244684.0,1.0,0.1166912319006162,通信
20200401,000833.SZ,0.1638608305274971,360936.9995,2.0,0.1270301947158478,采掘
20200415,600557.SH,0.0734735045387544,908886.6313,4.0,0.0711360198331672,医药生物
20200415,603109.SH,0.4203016714227476,395715.66,3.0,0.4179641867171604,汽车
20200423,600315.SH,0.1646911629132093,2052677.7937,5.0,0.1814548051571297,化工
20200513,603976.SH,0.0635782747603832,364240.8,2.0,0.0596612988094562,医药生物
20200514,600729.SH,0.0806949365641789,1203730.7849,4.0,0.0881639603404976,商业贸易
20200520,000584.SZ,-0.009979353062629,405407.3881,3.0,0.009992169301851,机械设备
20200520,300328.SZ,-0.0227428180574557,750260.312,4.0,-0.0027712956929755,有色金属
20200520,300726.SZ,-0.0754915730337081,1120680.1,4.0,-0.0555200506692279,电子
20200520,688006.SH,0.1306774930220757,1829763.0,5.0,0.1506490153865559,机械设备
20200521,300073.SZ,0.0642279480910288,1126308.0316,4.0,0.0834707667510454,化工
20200521,603722.SH,-0.0853889943074005,264999.18,2.0,-0.0661461756473839,化工
20200522,688100.SH,0.0689655172413796,1396000.0,4.0,0.0797786171041265,机械设备
20200527,002138.SZ,0.0552325581395347,1957740.9635,5.0,0.025773421212673,电子
20200527,300708.SZ,0.0512820512820513,372333.864,2.0,0.0218229143551895,电子
20200603,002600.SZ,0.0489337822671154,7441563.9332,5.0,0.0372793829869859,电子
20200603,002666.SZ,-0.0102264426588749,460140.8535,3.0,-0.0218808419390044,化工
20200603,300044.SZ,0.0802962385499901,574196.8038,3.0,0.0686418392698606,计算机
20200605,002181.SZ,-0.0477408354646206,608394.4832,3.0,-0.0506323832665255,传媒
20200605,688081.SH,-0.0229110512129381,372121.6,2.0,-0.025802599014843,国防军工
20200610,002430.SZ,0.1018619934282587,1278100.0045,4.0,0.0984512985986962,机械设备
20200610,300006.SZ,-0.0728842004315512,459728.522,3.0,-0.0762948952611136,医药生物
20200617,000088.SZ,0.0703164239075841,1068210.0,4.0,0.048727555620021,交通运输
20200617,000717.SZ,-0.0247978436657684,979907.3861,4.0,-0.0463867119533315,钢铁
20200617,300291.SZ,-0.0330167345092718,488024.3221,3.0,-0.054605602796835,传媒
20200617,603607.SH,0.0419219606578524,279378.792,2.0,0.0203330923702893,轻工制造
20200618,300822.SZ,-0.0002170609941395,479694.99,3.0,-0.0200648011147205,电子
20200624,300467.SZ,0.0263988522238165,393176.8168,2.0,-0.0131600379950729,传媒
20200624,300523.SZ,0.1301800271739128,1065247.7444,4.0,0.0906211369550233,计算机
20200624,600088.SH,0.063441712926249,594571.068,3.0,0.0238828227073595,传媒
20200701,002640.SZ,0.3143611006407838,1112441.5096,4.0,0.2081094022516396,商业贸易
20200701,300085.SZ,0.2783716170115988,1135571.3397,4.0,0.1721199186224546,计算机
20200701,600325.SH,0.1401608403085505,1575211.3943,4.0,0.0339091419194064,房地产
20200701,600718.SH,0.0956392973856212,1504510.4272,4.0,-0.0106124010035228,计算机
20200702,600219.SH,0.1554192229038857,2521551.6007,5.0,0.0411185987917608,有色金属
20200702,601818.SH,0.1635111876075732,20575818.4047,5.0,0.0492105634954482,银行
20200703,002769.SZ,0.1303171871158104,328146.5695,2.0,0.0121273844103306,交通运输
20200703,600105.SH,0.0967062428188436,589469.8063,3.0,-0.021483559886636,通信
20200703,603093.SH,0.1271149674620388,1422160.0,4.0,0.0089251647565591,非银金融
20200708,002783.SZ,0.1781277728482697,447946.7254,2.0,0.1313029682351885,化工
20200708,300065.SZ,0.2693350342848033,469845.3613,3.0,0.222510229671722,国防军工
20200708,603009.SH,0.0338218714768885,256327.5372,1.0,-0.0130029331361927,汽车
20200709,300217.SZ,-0.0147895335608645,348937.2754,2.0,-0.0225762307391743,家用电器
20200715,300129.SZ,0.0588014981273408,335125.4173,2.0,0.0883910303737424,电气设备
20200730,601238.SH,0.0519253208868146,11138862.4772,5.0,0.0193444276652468,汽车
20200909,002554.SZ,-0.0869565217391303,311605.71,2.0,-0.0737405434949731,采掘
20201021,600203.SH,0.0589070262597584,408063.7253,2.0,0.0839049919881572,电子
20201030,000030.SZ,0.0171952617500956,1357914.0833,4.0,-0.0018923353558162,汽车
20201104,000612.SZ,0.1137777777777782,841692.7722,4.0,0.0856504111854477,有色金属
20201104,300835.SZ,0.0079812206572766,455821.5,2.0,-0.0201461459350538,有色金属
20201106,002251.SZ,-0.1281751336898395,1127394.6561,4.0,-0.1256387015124732,商业贸易
20201111,002532.SZ,0.1106241234221598,3281916.4816,5.0,0.1226409130747416,机械设备
20201111,601609.SH,0.0430402930402928,1695911.916,5.0,0.0550570826928746,有色金属
20201112,603109.SH,0.0172814888667329,440156.67,2.0,0.0170701395151382,汽车
20201118,002191.SZ,0.0309966618979493,1511746.3044,4.0,0.013858214291665,轻工制造
20201119,300657.SZ,-0.0215959004392387,680056.9404,3.0,-0.023737575863973,电子
20201120,002495.SZ,-0.0920959774170783,261975.168,1.0,-0.0871559462376694,食品饮料
20201120,603738.SH,-0.0242533936651584,382595.6579,2.0,-0.0193133624857495,电子
20201125,600503.SH,-0.0050083472454089,655336.61,3.0,-0.0103485750610559,房地产
20201125,600968.SH,-0.0116731517509726,2602266.6749,5.0,-0.0170133795666195,采掘
20201125,601658.SH,0.0724070450097846,43489281.1,5.0,0.0670668171941377,银行
20201126,002622.SZ,-0.0062176165803109,278880.0,1.0,-0.0277782111191433,电气设备
20201126,605222.SH,0.0264150943396228,1013467.4,4.0,0.0048544998007904,电气设备
20201127,603115.SH,-0.0524920466595969,384176.0,2.0,-0.0737478793794469,有色金属
20201127,605108.SH,0.1018628616726118,546400.0,3.0,0.0806070289527618,休闲服务
20201202,000050.SZ,-0.0119737932073199,4060199.136,5.0,-0.0074158048345021,电子
20201202,000712.SZ,-0.0038289725590301,1415680.0,4.0,0.0007290158137877,非银金融
20201202,600155.SH,0.0358974358974359,2463212.2136,5.0,0.0404554242702538,非银金融
20201202,600393.SH,-0.0102489019033676,771019.3525,4.0,-0.0056909135305498,房地产
20201202,600864.SH,0.0013468013468012,1504252.486,4.0,0.005904789719619,非银金融
20201203,600261.SH,-0.0952108157653529,630212.6716,3.0,-0.0741937829789871,电子
20201210,002361.SZ,-0.0368284228769496,427162.7992,2.0,-0.0337775633677038,化工
20201210,600621.SH,0.1168685281550407,2269263.5856,5.0,0.1199193876642865,非银金融
20201211,688008.SH,0.0269742883379249,10581836.8844,5.0,0.0190871421301197,电子
20201217,002731.SZ,-0.140326009922041,199289.368,1.0,-0.1510616754371055,轻工制造
20201223,600550.SH,0.0140881815810069,953911.7526,4.0,0.0105305578611418,电气设备
20201224,600125.SH,0.1300883049752315,759813.7307,4.0,0.1221408108104302,交通运输
20201230,002177.SZ,-0.0323704158983814,430834.2724,3.0,-0.0941334900759717,计算机
